wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c, dominant_phase_idx
4.628657162984781692e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.341766866643708589e+00,1.341092001605828088e+00,1.000674865037881167e+00,-1.000000000000000000e+00,2.682858868249536677e+00,2.342441731681589978e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.341766866643708589e+00,-4.669466946694633691e-01,0.000000000000000000e+00
4.712231885042475810e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.349999971002238119e+00,1.175319699609161272e+00,1.174680271393077069e+00,-1.000000000000000000e+00,2.525319670611399392e+00,2.524680242395315410e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.349999971002238119e+00,-9.989998999900002730e-01,0.000000000000000000e+00
4.796434988469025384e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.341705000046357732e+00,1.000006752143937527e+00,1.341698247902420427e+00,-1.000000000000000000e+00,2.341711752190295037e+00,2.683403247948778159e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.341705000046357732e+00,-4.649464946494639150e-01,0.000000000000000000e+00
4.797063369837879954e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.341580573368040596e+00,9.986702302726613301e-01,1.342910343095379488e+00,-1.000000000000000000e+00,2.340250803640701704e+00,2.684490916463420085e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.341580573368040596e+00,-4.609460946094614542e-01,0.000000000000000000e+00
5.026422569469898072e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.235074060488428493e+00,4.888813549347274523e-01,1.746192705553701430e+00,-1.000000000000000000e+00,1.723955415423156001e+00,2.981266766042129923e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.235074060488428493e+00,9.991999199919980867e-01,0.000000000000000000e+00
5.235673565298561094e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.035528772490365679e+00,7.383480962566376423e-04,2.034790424394108843e+00,-1.000000000000000000e+00,1.036267120586622292e+00,3.070319196884474522e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.035528772490365679e+00,-3.313331333133291423e-01,0.000000000000000000e+00
5.236301946667416551e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-2.034790424394107955e+00,-7.383480962581492370e-04,2.035528772490366123e+00,-3.070319196884474078e+00,-1.036267120586624291e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.035528772490366123e+00,-3.353335333533422613e-01,2.000000000000000000e+00
5.340613253897320334e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.901320125374201364e+00,-2.454215965800559951e-01,2.146741721954257276e+00,-3.048061847328458640e+00,-1.392163318534313188e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.146741721954257276e+00,-9.993999399939994532e-01,2.000000000000000000e+00
5.654803938324742596e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.381414807393612554e+00,-9.556962064289895586e-01,2.337111013822601446e+00,-2.718525821216213778e+00,-2.292807220251591005e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.337111013822601446e+00,9.995999599960043724e-01,2.000000000000000000e+00
5.674912142128097692e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.342910343095378378e+00,-9.986702302726626623e-01,2.341580573368040596e+00,-2.684490916463419197e+00,-2.340250803640703481e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.341580573368040596e+00,8.723872387238671422e-01,2.000000000000000000e+00
5.675540523496952261e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.341698247902419094e+00,-1.000006752143939082e+00,2.341705000046357732e+00,-2.683403247948776826e+00,-2.341711752190296814e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.341705000046357732e+00,8.683868386838682341e-01,2.000000000000000000e+00
5.759115245554646378e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.175959011802638399e+00,-1.174040727217507296e+00,2.349999739020145029e+00,-2.525958750822783649e+00,-2.524040466237652325e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.349999739020145029e+00,3.363336333633384356e-01,2.000000000000000000e+00
5.759743626923501836e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.174680271393075737e+00,-1.175319699609162605e+00,2.349999971002238119e+00,-2.524680242395313634e+00,-2.525319670611400724e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.349999971002238119e+00,3.323332333233253166e-01,2.000000000000000000e+00
5.843318348981195953e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000674865037879613e+00,-1.341092001605829420e+00,2.341766866643708589e+00,-2.342441731681588202e+00,-2.682858868249538009e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.341766866643708589e+00,-1.997199719972044818e-01,2.000000000000000000e+00
5.843946730350050522e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-9.993385405335442062e-01,-1.342304361752214348e+00,2.341642902285757888e+00,-2.340981442819302316e+00,-2.683947264037972236e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.341642902285757888e+00,-2.037203720372033899e-01,2.000000000000000000e+00
5.968994622752164858e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-7.262601575006610855e-01,-1.572402054209579347e+00,2.298662211710239767e+00,-2.024922369210901074e+00,-2.871064265919819114e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.298662211710239767e+00,-9.997999799980021862e-01,2.000000000000000000e+00
6.282556925810731663e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.476696119626663174e-03,-2.034420949028851400e+00,2.035897645148477597e+00,-1.037374341268104239e+00,-3.070318594177328997e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.035897645148477597e+00,9.959995999599939864e-01,2.000000000000000000e+00
6.283185307179586232e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-5.755839955992560641e-16,-2.035159698893431290e+00,2.035159698893430846e+00,1.035159698893430624e+00,-1.000000000000000000e+00,3.070319397786862137e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.035159698893431290e+00,1.000000000000000000e+00,1.000000000000000000e+00
